Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Difference,Mechanical Power,Wear Rate,Thermal Stress
0,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,0.087463556787563,504.3999999999989
2,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,0.08491847820318038,489.25000000000057
1,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,0.08596373399196525,505.7300000000006
2,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,0.07053716762314857,265.7400000000003
1,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,0.09379407609746539,476.8900000000005
0,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,0.09473684203878116,560.5599999999988
2,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,0.09915014157283984,454.23000000000053
1,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,0.04998252357567895,46.92000000000021
1,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,0.10484454077740814,559.9800000000025
0,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,0.09819639271997568,446.7599999999995
1,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,0.09712460057691719,361.5300000000004
1,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,0.09107037250675909,310.03000000000037
1,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,0.10317460310636599,419.2100000000005
1,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,0.10697359505282762,436.7200000000005
1,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,0.10575016516473881,415.09000000000043
2,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,0.09753160740666368,300.89999999999964
1,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,0.11973875172733035,560.3200000000006
1,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,0.11988513989957994,541.7800000000007
2,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,0.10615577882779159,389.6399999999996
1,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,0.09404045921594288,233.57999999999973
2,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,0.09602649001323041,261.5900000000006
1,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,0.11621799073130794,389.86000000000087
1,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,0.1284074604530793,455.510000000001
2,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,0.10780226318772944,287.0
0,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,0.12551159609446685,445.4099999999985
1,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,0.12377210208004445,327.2399999999989
1,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,0.13546099281172977,663.5700000000015
2,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,0.10031185025971318,228.26000000000053
1,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,0.13498622580235106,464.10000000000207
1,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,0.1446311174984433,452.880000000002
1,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,0.12562814062460542,353.5000000000008
1,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,0.12617114295679502,326.2300000000007
1,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,0.14793328488184676,471.6699999999984
1,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,0.14099931544079444,483.7899999999984
1,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,0.14295532636223002,417.1299999999986
1,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,520.1499999999983
1,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,0.0014265335225203042,382.7899999999987
0,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0.002768166088049712,499.0
1,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,0.006206896547443519,475.0
1,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,0.0075705436974738164,408.0
1,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,0.008849557516099688,401.0
1,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,0.010548523199332964,476.0
2,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,0.009423503320718679,268.0
0,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0.013927576591972439,439.0
1,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,0.016191709834072726,318.0
2,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,0.01902748413035413,452.0
2,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,0.02017484867506735,395.0
1,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,0.018824871637863734,258.0
1,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,0.019125683049658095,249.0
2,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,0.02142443542476871,271.0
1,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,0.02758620687752675,425.699999999999
1,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,0.025893958060484612,315.80999999999926
2,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,0.03256846777752149,522.0
2,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,0.029841269822323,353.0
2,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,0.02857142855510204,299.0
1,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,0.03466317852540014,323.73000000000116
1,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,0.036112934973005294,444.0
1,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,0.0307775377803577,252.49999999999915
1,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,0.029633350060455373,207.0
1,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,0.03922829579470849,406.0
2,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,0.043719639109146675,405.0
1,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,0.04551724134791914,429.659999999999
1,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,0.042740414806574215,307.8899999999993
1,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,0.048442906540869954,480.1499999999989
2,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,0.04809619235264115,468.0
0,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,0.046267735936910706,323.73000000000116
1,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,0.05089058520935713,334.1800000000004
1,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,0.04380341878001954,220.50000000000026
0,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,0.05603735820144272,430.65000000000146
2,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,0.05941255002709442,391.0499999999991
2,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,0.06191117088700459,410.62000000000046
1,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,0.05654761901395974,288.12000000000035
1,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,0.06778476585060463,447.8600000000005
1,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,0.06329923269610023,334.1800000000004
1,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,0.06316447775912165,323.4000000000004
2,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,0.06033977735188062,275.38000000000034
1,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,0.07225630533588527,398.86000000000047
1,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,0.07536636421816723,438.0600000000005
1,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,0.07060333756700683,403.7600000000005
1,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,0.0854961831408426,496.8600000000006
1,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,0.07373868041802155,425.3200000000005
1,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,0.06716850025062622,288.12000000000035
1,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,0.0756410255925378,312.3400000000015
1,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,0.09029345365666407,580.8000000000013
1,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,0.08634111812714712,451.0500000000021
1,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,0.07813484557143362,370.5600000000009
1,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,0.08082103907580433,329.28000000000077
1,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,0.0868974880604905,394.55999999999864
1,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,0.07484168101621089,265.91999999999905
2,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,0.09160305337154541,419.0399999999995
2,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,0.0944055943395765,481.11999999999944
1,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,0.10080350613527866,508.7999999999982
2,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,0.08182349498432291,276.4499999999997
0,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,0.1007042252811942,447.8600000000005
1,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,0.11410948333530493,547.4700000000018
0,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,0.10351966866561789,484.1200000000006
1,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,0.1222397475376658,546.8400000000006
1,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,0.10390469880615175,353.7800000000004
1,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,0.10297927454470253,344.96000000000043
2,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,0.09055118105143353,276.3599999999987
0,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,0.11656005677572134,494.8999999999977
2,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,0.12149532701545986,415.51999999999805
1,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,0.11368142755209422,332.63999999999925
0,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,0.10794044658316349,357.3899999999992
1,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,0.11815181510353015,401.0
2,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,0.13125453217457975,480.0
1,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,0.12491513908695509,395.01000000000136
1,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,0.13080168767172876,422.7300000000015
2,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,0.1285030757836616,368.4800000000004
2,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,0.12058080800468382,401.80000000000047
1,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,0.10486486480818115,264.6000000000003
1,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,0.1282722512249527,354.76000000000045
0,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,0.09964771006560255,194.04000000000022
2,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,0.1357859530864308,446.2000000000021
0,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,0.1393775371181478,426.3000000000005
2,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,0.14076050691076683,392.00000000000045
1,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,0.14547926570667621,460.60000000000053
1,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,0.16848673933815386,594.8600000000007
1,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,0.1543909347348506,512.5400000000005
1,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,347.90000000000043
2,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,0.0013623978192354236,429.24000000000046
2,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,0.0034722222198109564,427.2800000000005
1,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,0.004616272357405498,257.3999999999994
0,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,0.00620347394156112,319.48000000000036
0,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0.010288065836565111,424.71000000000146
1,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,0.013956734114475412,616.7700000000021
1,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,0.016691957498716267,585.0900000000021
2,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,0.014906832288877743,343.0000000000004
1,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,0.018467852244550033,502.9200000000017
2,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,0.015072765064930995,205.91999999999953
2,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,0.02011313637956434,330.2600000000004
1,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,0.026799387422052533,577.170000000002
1,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,0.026772793034173084,430.65000000000146
1,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,0.02410383187632643,343.5300000000012
1,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,0.020623742444354252,214.0
1,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,0.029944289672740744,502.0
1,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,0.034509202427523616,502.9800000000011
1,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,0.031864406758058024,503.99000000000115
0,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,0.026864035072991208,244.42000000000056
2,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,0.0402384500445317,485.80999999999835
1,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,0.038383838357990675,411.06999999999863
1,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,0.03539292139448535,306.0
1,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,0.04218533883666297,382.0
1,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,0.04842428897123421,571.1999999999994
1,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,0.04713560547705902,439.61999999999955
1,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,0.04171855539120887,342.71999999999963
2,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,0.04483430796307062,438.3399999999985
1,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,0.048747461036731575,508.9799999999994
1,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,0.04441776708018141,352.9199999999996
0,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,0.05436337621290173,528.3599999999993
0,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,0.04827175205704901,352.9199999999996
2,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,0.03211351753841915,110.21000000000011
1,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,0.061252580825015425,437.5799999999995
0,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,0.06354748598914281,509.8500000000006
2,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996,0.06286836931049877,417.1800000000018
1,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,55580.0,0.062342569230262865,360.5000000000004
1,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3,0.07048150727810083,480.4200000000022
1,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,56315.0,0.0640149160571691,357.0000000000016
1,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001,0.06666666662433862,420.23999999999955
2,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004,0.06540342294290744,360.57000000000085
1,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,56471.0,0.07382550330615738,382.7900000000009
1,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,57104.799999999996,0.06433084430538148,331.2800000000007
2,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,71232.0,0.08482142850831738,535.3000000000012
1,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,56797.7,0.07271597260862897,360.05999999999955
2,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,86254.7,0.08374384230559898,625.2100000000007
1,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,58389.700000000004,0.07668133244708904,374.3400000000017
1,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,64988.0,0.08395396067437104,448.800000000002
1,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,54980.3,0.08273145102906668,371.83000000000044
1,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,53392.5,0.08126984121824136,345.7799999999996
0,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,71097.59999999999,0.09672619040422158,544.8700000000006
1,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,62231.4,0.09740259733232134,462.4700000000005
2,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,58951.9,0.08621774695643943,382.13000000000045
1,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,62384.399999999994,0.0904392764273648,415.09000000000043
1,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,57411.7,0.0947298198167246,394.4900000000004
1,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,52582.4,0.08653846148645525,322.31999999999965
1,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,55130.700000000004,0.10089841043476266,392.43000000000046
2,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,66250.8,0.10320781024880905,471.2399999999995
1,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,74623.2,0.10663841800378641,537.5399999999994
0,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,44396.1,0.08374384231869521,245.43000000000055
1,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,58680.0,0.1211656440788607,459.00000000000205
1,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,53973.6,0.10197578068707726,350.88000000000153
1,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,46411.200000000004,0.10227272720816115,301.79000000000036
1,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,73275.59999999999,0.12041115997032953,548.7599999999993
1,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,65386.8,0.12490594422505195,496.91999999999837
1,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,55557.9,0.10916179330138934,368.21999999999963
